127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001734
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000681
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.001547
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000875
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001840
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003347
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002121
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001339
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000896
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000734
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001061
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000905
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001508
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002317
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.004363
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.006769
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.000506
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000357
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001192
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000735
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.002874
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001261
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.002648
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000813
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/js/typeahead.min.js, HTTP/1.1, 200, 0.002573
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/js/ajax_editor.js, HTTP/1.1, 200, 0.001600
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/static/_2.16.1/images/files_toggle.png, HTTP/1.1, 200, 0.000374
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/static/_2.16.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000304
127.0.0.1, 2018-07-20 08:49:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000475
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/default/edit/hello/controllers/appadmin.py, HTTP/1.1, 200, 0.026509
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.070831
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.102081
127.0.0.1, 2018-07-20 08:49:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.091485
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.155234
127.0.0.1, 2018-07-20 08:49:02, GET, /admin/static/_2.16.1/images/save_icon.png, HTTP/1.1, 200, 0.001573
127.0.0.1, 2018-07-20 08:49:02, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.182851
127.0.0.1, 2018-07-20 08:49:08, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.067253
127.0.0.1, 2018-07-20 08:49:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000322
127.0.0.1, 2018-07-20 08:49:36, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.012864
127.0.0.1, 2018-07-20 08:49:36, GET, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.013982
127.0.0.1, 2018-07-20 08:49:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000250
127.0.0.1, 2018-07-20 08:49:36, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.073278
127.0.0.1, 2018-07-20 08:49:36, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.088500
127.0.0.1, 2018-07-20 08:49:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.108103
127.0.0.1, 2018-07-20 08:49:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.076375
127.0.0.1, 2018-07-20 08:49:37, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 1.265051
127.0.0.1, 2018-07-20 08:49:53, POST, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.025537
127.0.0.1, 2018-07-20 08:49:55, GET, /hello, HTTP/1.1, 200, 0.232118
127.0.0.1, 2018-07-20 08:49:55, GET, /favicon.ico, HTTP/1.1, 400, 0.002849
127.0.0.1, 2018-07-20 08:50:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.014445
127.0.0.1, 2018-07-20 08:50:37, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.908216
127.0.0.1, 2018-07-20 08:50:52, GET, /hello, HTTP/1.1, 200, 0.207618
127.0.0.1, 2018-07-20 08:50:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000483
127.0.0.1, 2018-07-20 08:50:53, GET, /hello, HTTP/1.1, 200, 0.049870
127.0.0.1, 2018-07-20 08:50:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
127.0.0.1, 2018-07-20 08:51:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000403
127.0.0.1, 2018-07-20 08:51:06, POST, /admin/default/edit/hello/controllers/default.py, HTTP/1.1, 200, 0.016428
127.0.0.1, 2018-07-20 08:51:08, GET, /hello, HTTP/1.1, 200, 0.075664
127.0.0.1, 2018-07-20 08:51:08, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.001224
127.0.0.1, 2018-07-20 08:51:36, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.031524
127.0.0.1, 2018-07-20 08:51:37, GET, /hello/appadmin/hooks, HTTP/1.1, 200, 0.892892
